ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
-1.31079 -0.534592 0.082835 1.30657 -0.131155 0.722888 -0.402286 -0.708429 -0.46849 0.073042 0.945227 -0.248579 -0.809353 -0.197135 1.556 -20.556 2.88 -8.3 0.184 0.436 0.128
-1.31002 -0.535743 0.0839854 1.30925 -0.132306 0.720971 -0.40267 -0.720996 -0.477522 0.0785398 0.958971 -0.256433 -0.813672 -0.188103 1.68 -20.652 2.948 -8.36 0.2 0.416 0.14
-1.31194 -0.536126 0.0843689 1.31079 -0.132689 0.720971 -0.40382 -0.726886 -0.492052 0.0918916 0.964862 -0.259574 -0.827417 -0.179071 1.776 -20.652 2.984 -8.392 0.2 0.396 0.128
-1.31424 -0.53651 0.0832185 1.31347 -0.13384 0.719053 -0.403053 -0.718639 -0.508545 0.106421 0.974286 -0.262323 -0.833307 -0.177107 1.744 -20.652 2.848 -8.392 0.192 0.396 0.14
-1.31385 -0.538044 0.0843689 1.31424 -0.13384 0.717903 -0.40382 -0.712749 -0.516007 0.111527 0.987638 -0.267428 -0.828595 -0.1775 1.744 -20.62 2.748 -8.36 0.184 0.388 0.128
-1.31654 -0.539194 0.0832185 1.31692 -0.13499 0.716369 -0.404204 -0.711571 -0.516399 0.113883 0.996278 -0.27057 -0.821526 -0.172395 1.712 -20.62 2.748 -8.392 0.184 0.388 0.1
-1.31731 -0.540345 0.0843689 1.31846 -0.135374 0.714452 -0.404204 -0.70568 -0.516007 0.116239 0.995492 -0.274497 -0.811709 -0.169253 1.744 -20.588 2.68 -8.36 0.212 0.376 0.12
-1.31807 -0.541879 0.0839854 1.32076 -0.135757 0.712918 -0.404971 -0.699397 -0.522682 0.112312 0.995099 -0.276067 -0.805033 -0.166897 1.744 -20.62 2.412 -8.36 0.184 0.336 0.128
-1.32114 -0.542262 0.0847524 1.32344 -0.136524 0.711384 -0.404587 -0.68958 -0.533285 0.102887 0.994707 -0.271355 -0.805033 -0.16729 1.836 -20.588 2.344 -8.332 0.192 0.328 0.128
-1.32152 -0.542646 0.0847524 1.32459 -0.136524 0.709466 -0.404971 -0.685653 -0.537998 0.0930697 0.997063 -0.270962 -0.80307 -0.166504 1.9 -20.556 2.28 -8.36 0.2 0.328 0.112
-1.32267 -0.543796 0.0843689 1.32766 -0.136908 0.709083 -0.406505 -0.68958 -0.531322 0.08875 0.999812 -0.270177 -0.799143 -0.162577 1.776 -20.524 2.176 -8.36 0.212 0.328 0.12
-1.32383 -0.544563 0.0847524 1.32919 -0.137675 0.706782 -0.405738 -0.689972 -0.520326 0.0840376 1.00767 -0.264679 -0.794823 -0.164148 1.9 -20.46 2.076 -8.36 0.192 0.308 0.14
-1.32536 -0.54533 0.0855194 1.33111 -0.138058 0.705631 -0.406505 -0.693114 -0.506582 0.0773617 1.02298 -0.264679 -0.78854 -0.172395 1.9 -20.46 2.076 -8.332 0.192 0.32 0.12
-1.32766 -0.546864 0.0851359 1.3338 -0.138058 0.70333 -0.407272 -0.697041 -0.494408 0.0742201 1.03712 -0.27057 -0.787362 -0.1775 1.96 -20.492 2.076 -8.392 0.192 0.308 0.12
-1.32881 -0.547248 0.0859029 1.33571 -0.138825 0.701796 -0.407655 -0.706073 -0.492052 0.0738274 1.05047 -0.268999 -0.792859 -0.177893 1.868 -20.428 2.28 -8.332 0.184 0.288 0.12
-1.32919 -0.548782 0.0851359 1.33725 -0.138825 0.701029 -0.408039 -0.719425 -0.496372 0.0785398 1.06421 -0.258789 -0.799535 -0.178285 1.9 -20.364 2.212 -8.36 0.192 0.288 0.14
-1.33111 -0.549932 0.0862864 1.33878 -0.138825 0.699495 -0.407272 -0.722174 -0.501084 0.084823 1.07442 -0.249364 -0.795216 -0.182212 2.024 -20.396 2.112 -8.3 0.192 0.28 0.128
-1.3315 -0.551466 0.0859029 1.34108 -0.139592 0.697578 -0.408039 -0.716676 -0.505011 0.0907135 1.07521 -0.239154 -0.790896 -0.184176 1.992 -20.396 2.412 -8.3 0.192 0.3 0.14
-1.33341 -0.55185 0.0855194 1.34338 -0.139592 0.696044 -0.408806 -0.711963 -0.509723 0.0989602 1.06853 -0.225017 -0.792074 -0.182605 2.116 -20.3 2.48 -8.36 0.192 0.3 0.14
-1.33418 -0.553 0.0859029 1.34568 -0.139592 0.693359 -0.408039 -0.703717 -0.51208 0.102494 1.06304 -0.210879 -0.795608 -0.178285 1.932 -20.236 2.748 -8.392 0.184 0.32 0.14
-1.33571 -0.553 0.0866699 1.34684 -0.140359 0.692976 -0.408039 -0.69547 -0.511687 0.0989602 1.06343 -0.193601 -0.803462 -0.166897 2.116 -20.268 2.648 -8.42 0.172 0.328 0.112
-1.33725 -0.553767 0.0874369 1.34952 -0.139976 0.689908 -0.408806 -0.682118 -0.51208 0.0950332 1.06461 -0.175536 -0.807782 -0.148833 2.212 -20.136 2.816 -8.42 0.184 0.348 0.14
-1.33763 -0.554918 0.0870534 1.35144 -0.140359 0.689908 -0.408806 -0.666803 -0.509331 0.0973894 1.06421 -0.159043 -0.81328 -0.134303 2.244 -20.136 2.984 -8.452 0.172 0.348 0.128
-1.33917 -0.556068 0.0870534 1.35335 -0.14151 0.68799 -0.408806 -0.655807 -0.502262 0.102887 1.06618 -0.143335 -0.819956 -0.124486 2.272 -20.04 3.048 -8.42 0.192 0.348 0.14
-1.34019 -0.556835 0.0870534 1.35489 -0.141254 0.686201 -0.409317 -0.649262 -0.498335 0.101055 1.06749 -0.13679 -0.816552 -0.118988 2.39733 -20.0187 3.02667 -8.44133 0.192 0.361333 0.126667
-1.34185 -0.558369 0.0866699 1.35796 -0.140743 0.685306 -0.408806 -0.638921 -0.494015 0.0930697 1.06932 -0.130376 -0.80896 -0.113883 2.368 -20.008 3.048 -8.484 0.184 0.356 0.128
-1.34185 -0.559136 0.0870534 1.35949 -0.14151 0.683772 -0.409189 -0.643241 -0.494015 0.0812887 1.07325 -0.12802 -0.805426 -0.112312 2.428 -19.944 2.984 -8.512 0.2 0.336 0.148
-1.34453 -0.560286 0.0874369 1.36102 -0.14151 0.683005 -0.409573 -0.64599 -0.496372 0.0714712 1.07757 -0.1237 -0.799143 -0.104851 2.336 -19.976 2.88 -8.452 0.192 0.356 0.148
-1.34568 -0.561053 0.0878204 1.36371 -0.141893 0.681087 -0.41034 -0.643634 -0.499513 0.069115 1.07246 -0.119381 -0.788147 -0.0938551 2.492 -19.912 2.848 -8.42 0.184 0.32 0.12
-1.34645 -0.56182 0.0885874 1.36563 -0.141893 0.68032 -0.409956 -0.647561 -0.503048 0.0659734 1.06147 -0.117417 -0.770868 -0.08875 2.46 -19.912 2.88 -8.484 0.192 0.3 0.12
-1.34722 -0.563738 0.0870534 1.36793 -0.14151 0.678786 -0.409956 -0.650702 -0.506582 0.0647953 1.05047 -0.112705 -0.752804 -0.0914989 2.492 -19.912 2.916 -8.484 0.184 0.28 0.12
-1.34914 -0.563738 0.0882039 1.37023 -0.143044 0.67802 -0.409956 -0.646775 -0.512472 0.0628319 1.04379 -0.105636 -0.737096 -0.0930697 2.4 -19.88 2.848 -8.512 0.184 0.24 0.148
-1.34952 -0.564888 0.0878204 1.37215 -0.14266 0.674568 -0.409956 -0.640492 -0.51797 0.0592976 1.0434 -0.105243 -0.722959 -0.0860011 2.336 -19.912 2.948 -8.544 0.172 0.232 0.128
