ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
1.49256 -0.627782 -0.44217 1.76408 0.64849 0.71982 1.4128 0.113097 0.584729 -0.214021 -1.46595 -0.388772 0.877682 0.466919 -4.8 -14.236 -8.516 -5.44 0.108 0.252 0.14
1.49256 -0.626248 -0.442553 1.76101 0.646573 0.721738 1.41433 0.0969967 0.578053 -0.213236 -1.47027 -0.389557 0.869828 0.480271 -4.828 -14.332 -8.58 -5.412 0.108 0.26 0.14
1.49256 -0.625481 -0.442937 1.75871 0.646956 0.722888 1.41433 0.0891427 0.576482 -0.205382 -1.47341 -0.387594 0.868258 0.485376 -4.956 -14.332 -8.648 -5.44 0.1 0.26 0.14
1.49295 -0.62433 -0.44332 1.75602 0.646573 0.724039 1.41548 0.0816814 0.579624 -0.194779 -1.47223 -0.381704 0.867472 0.496764 -4.892 -14.268 -8.548 -5.44 0.108 0.268 0.128
1.4918 -0.62318 -0.443704 1.75334 0.645039 0.724422 1.41625 0.073042 0.58198 -0.184569 -1.47223 -0.372279 0.863545 0.496764 -4.956 -14.204 -8.58 -5.44 0.1 0.3 0.112
1.49256 -0.622413 -0.443704 1.75066 0.645039 0.72749 1.41663 0.0647953 0.582373 -0.180249 -1.47184 -0.36521 0.849801 0.492837 -5.108 -14.236 -8.684 -5.44 0.052 0.3 0.12
1.49218 -0.620495 -0.44332 1.74759 0.644655 0.729024 1.41778 0.0569414 0.57766 -0.177893 -1.46477 -0.362069 0.828988 0.471239 -4.956 -14.268 -8.648 -5.472 0.044 0.308 0.14
1.4918 -0.620495 -0.443704 1.7449 0.643121 0.730558 1.41817 0.0431969 0.572163 -0.173573 -1.46045 -0.360105 0.812102 0.454746 -4.8 -14.268 -8.848 -5.564 0.016 0.3 0.128
1.49256 -0.618961 -0.444854 1.7426 0.642738 0.731709 1.41893 0.0231692 0.570592 -0.172788 -1.4577 -0.359712 0.799928 0.448855 -4.86 -14.3 -8.884 -5.564 0.0 0.328 0.1
1.49141 -0.617811 -0.445621 1.73838 0.642738 0.733243 1.42123 0.00549779 0.570199 -0.172002 -1.44867 -0.356963 0.790503 0.437074 -4.86 -14.268 -8.816 -5.592 -0.016 0.336 0.112
1.49141 -0.617044 -0.446005 1.73685 0.641971 0.734777 1.42085 -0.0106029 0.574519 -0.173573 -1.43924 -0.347931 0.7799 0.434718 -4.828 -14.332 -8.916 -5.624 -0.024 0.348 0.112
1.49103 -0.615126 -0.446388 1.7334 0.641204 0.735927 1.42162 -0.0208131 0.581587 -0.1775 -1.43767 -0.336936 0.772832 0.437859 -4.58 -14.332 -8.848 -5.716 -0.024 0.356 0.128
1.49218 -0.613976 -0.446772 1.73033 0.641204 0.737845 1.42277 -0.0278816 0.5863 -0.185354 -1.44003 -0.33026 0.765763 0.438645 -4.768 -14.332 -8.952 -5.776 -0.024 0.356 0.092
1.49103 -0.612442 -0.447539 1.72726 0.63967 0.740146 1.42353 -0.0322013 0.591405 -0.193208 -1.4471 -0.328296 0.763014 0.436681 -4.644 -14.332 -9.052 -5.808 -0.024 0.376 0.112
1.49103 -0.612058 -0.447539 1.72534 0.638903 0.739762 1.4243 -0.0353429 0.60083 -0.199884 -1.45652 -0.325155 0.769298 0.432362 -4.736 -14.364 -8.816 -5.808 -0.024 0.376 0.128
1.49141 -0.610908 -0.447539 1.72151 0.638136 0.743597 1.42468 -0.0357356 0.610254 -0.206167 -1.46398 -0.324762 0.776366 0.426471 -4.736 -14.428 -8.984 -5.868 -0.016 0.376 0.14
1.49256 -0.609757 -0.448306 1.71883 0.637369 0.744364 1.42584 -0.0361283 0.609469 -0.205382 -1.47459 -0.327118 0.781864 0.416654 -4.86 -14.364 -8.884 -5.896 -0.044 0.336 0.112
1.49103 -0.60784 -0.447539 1.71576 0.636602 0.745131 1.4266 -0.0353429 0.60672 -0.201847 -1.49108 -0.333009 0.788147 0.406051 -4.86 -14.46 -8.916 -5.836 -0.036 0.308 0.12
1.49218 -0.607456 -0.449073 1.71384 0.636986 0.747049 1.42775 -0.0353429 0.605149 -0.199098 -1.50404 -0.339292 0.792074 0.399768 -4.86 -14.492 -8.848 -5.868 -0.052 0.32 0.12
1.49141 -0.605539 -0.449456 1.71077 0.635835 0.747432 1.42775 -0.0341648 0.601222 -0.196742 -1.50561 -0.339685 0.792074 0.399768 -4.58 -14.524 -8.816 -5.896 -0.016 0.308 0.128
1.49141 -0.604388 -0.449456 1.7077 0.635452 0.750884 1.42852 -0.0263108 0.597295 -0.194779 -1.49658 -0.338899 0.786969 0.40016 -4.768 -14.588 -8.684 -5.896 -0.024 0.3 0.112
1.49103 -0.602854 -0.449456 1.70425 0.634301 0.752034 1.4289 -0.0200277 0.600437 -0.190066 -1.48911 -0.340077 0.782649 0.396626 -4.672 -14.588 -8.648 -5.96 0.0 0.28 0.128
1.49141 -0.602087 -0.449456 1.7008 0.633534 0.752418 1.43005 -0.0164934 0.607505 -0.186139 -1.49226 -0.342434 0.786969 0.390736 -4.58 -14.652 -8.684 -5.96 0.016 0.28 0.14
1.49141 -0.601704 -0.450223 1.69927 0.633151 0.754335 1.43044 -0.0200277 0.611825 -0.182998 -1.49815 -0.345575 0.793645 0.387987 -4.548 -14.62 -8.684 -5.96 0.016 0.288 0.128
1.49026 -0.60017 -0.45099 1.69697 0.631617 0.756253 1.43159 -0.0231692 0.608291 -0.175144 -1.50129 -0.346753 0.792859 0.385238 -4.612 -14.688 -8.716 -5.96 0.036 0.3 0.128
1.49026 -0.599019 -0.451757 1.69351 0.631617 0.757403 1.43197 -0.0314159 0.601615 -0.167683 -1.49697 -0.35068 0.788147 0.381704 -4.392 -14.752 -8.616 -5.896 0.052 0.308 0.156
1.49026 -0.597486 -0.452141 1.68968 0.631233 0.758937 1.43274 -0.044375 0.594154 -0.165326 -1.49186 -0.356178 0.783042 0.378562 -4.3 -14.752 -8.616 -5.868 0.052 0.28 0.14
1.49026 -0.596335 -0.450607 1.68815 0.63085 0.760854 1.43351 -0.0557633 0.590619 -0.173966 -1.49383 -0.357749 0.778722 0.373457 -4.424 -14.752 -8.784 -5.896 0.072 0.288 0.14
1.49026 -0.595568 -0.452908 1.68469 0.629316 0.762005 1.43504 -0.065188 0.590227 -0.179856 -1.49933 -0.352644 0.781078 0.368744 -4.612 -14.784 -8.784 -5.928 0.08 0.308 0.112
1.49065 -0.594418 -0.453675 1.68239 0.629699 0.763539 1.43542 -0.0710785 0.589441 -0.178678 -1.49893 -0.348717 0.783435 0.36953 -4.672 -14.816 -8.684 -5.96 0.052 0.336 0.128
1.49026 -0.593267 -0.453675 1.67971 0.628549 0.765456 1.43581 -0.0683296 0.588656 -0.186925 -1.49343 -0.346753 0.783435 0.374635 -4.516 -14.752 -8.716 -5.96 0.064 0.348 0.148
1.48988 -0.591733 -0.453291 1.67741 0.627782 0.766223 1.43581 -0.060083 0.587478 -0.199884 -1.48597 -0.343612 0.78422 0.375813 -4.8 -14.752 -8.716 -5.988 0.072 0.356 0.148
